Chemical,Cell line,CMap dose,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100
sisomicin,MCF7,0.0000028,0.002111,0.002111,0.002111,0.002111,0.002111,0.7595,0.002111,0.002111,0.002111,0.004083,0.002111,0.004083,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.004083,0.002111,0.002111,0.002111,0.004083,0.002111,0.002111,0.002111,0.004083,0.002111,0.004083,0.002111,0.002111,0.002111,0.004083,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.004083,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.01,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.006055,0.002111,0.002111,0.004083,0.002111,0.004083,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111,0.002111
sisomicin,PC3,0.0000028,0.002518,0.00003496,0.00003496,0.00003496,0.00003496,0.00006764,0.00003496,0.00003496,0.00003496,0.04607,0.00003496,0.08041,0.00006764,0.002583,0.001342,0.0003944,0.08067,0.00003496,0.02902,0.00006764,0.1397,0.09452,0.0001003,0.00003496,0.00003496,0.00003496,0.000133,0.0002637,0.0006557,0.00006764,0.03078,0.0009171,0.0001003,0.000427,0.00003496,0.00108,0.00003496,0.01425,0.00003496,0.000231,0.00003496,0.00003496,0.00003496,0.007909,0.00003496,0.00003496,0.001277,0.04218,0.00003496,0.00951,0.00003496,0.1071,0.00003496,0.00006764,0.00003496,0.0001003,0.00003496,0.00003496,0.00006764,0.00003496,0.000133,0.001734,0.00003496,0.00003496,0.00003496,0.06776,0.00003496,0.0001003,0.08567,0.00389,0.000329,0.00003496,0.00003496,0.00003496,0.00003496,0.003694,0.000329,0.002681,0.00003496,0.0001983,0.000133,0.00003496,0.001342,0.00003496,0.00003496,0.00003496,0.04947,0.000133,0.00003496,0.0001003,0.00003496,0.00003496,0.08469,0.00003496,0.00003496,0.000427,0.0001983,0.0003944,0.0001003,0.0001983
sitosterol,MCF7,0.0000096,0.0003444,0.0003444,0.0009881,0.001954,0.0006663,0.0006663,0.0003444,0.0003444,0.003241,0.0003444,0.0003444,0.0003444,0.0003444,0.0003444,0.0003444,0.0003444,0.0003444,0.006138,0.0003444,0.004207,0.0003444,0.0003444,0.0003444,0.1642,0.0009881,0.0003444,0.002276,0.0003444,0.0003444,0.0003444,0.0003444,0.0003444,0.0003444,0.0003444,0.001632,0.0003444,0.0003444,0.0003444,0.0003444,0.0003444,0.00131,0.03864,0.003563,0.002276,0.2488,0.4571,0.0003444,0.0003444,0.0003444,0.0003444,0.0006663,0.0003444,0.00131,0.0006663,0.0003444,0.0003444,0.0003444,0.0009881,0.0009881,0.0003444,0.0003444,0.0003444,0.01612,0.0003444,0.0009881,0.0003444,0.0006663,0.0003444,0.0003444,0.0003444,0.0003444,0.0009881,0.00131,0.00485,0.001632,0.0003444,0.0003444,0.0003444,0.00131,0.0003444,0.0006663,0.0003444,0.0003444,0.001632,0.0009881,0.0006663,0.0003444,0.0003444,0.0006663,0.0003444,0.001632,0.0006663,0.0003444,0.0006663,0.0003444,0.0003444,0.0003444,0.0003444,0.0003444,0.0003444
sitosterol,PC3,0.0000096,0.001699,0.001699,0.0005922,0.0005922,0.002252,0.001699,0.5468,0.002806,0.0005922,0.001146,0.0005922,0.01111,0.001699,0.001699,0.001146,0.001146,0.002806,0.0005922,0.002806,0.0005922,0.01055,0.0005922,0.0005922,0.0005922,0.001146,0.0005922,0.0005922,0.0005922,0.0005922,0.002806,0.003913,0.0005922,0.001699,0.0005922,0.0005922,0.0005922,0.0005922,0.0005922,0.0005922,0.0005922,0.003359,0.0005922,0.0005922,0.0005922,0.0005922,0.0005922,0.0005922,0.01498,0.0005922,0.0005922,0.0005922,0.0005922,0.01111,0.0005922,0.001146,0.001699,0.0005922,0.0005922,0.0005922,0.003913,0.002252,0.0005922,0.01498,0.003913,0.0005922,0.03435,0.001146,0.0005922,0.003359,0.0005922,0.0005922,0.0005922,0.002806,0.01111,0.0005922,0.0005922,0.0005922,0.0005922,0.1334,0.0005922,0.001146,0.0005922,0.0005922,0.001699,0.001699,0.0005922,0.0005922,0.0005922,0.0005922,0.0005922,0.0005922,0.001146,0.001699,0.003359,0.07032,0.0005922,0.001146,0.002252,0.0005922,0.03822
solanine,HL60,0.0000046,0.00004765,0.0001367,0.1194,0.01265,0.00004765,0.00004765,0.00004765,0.00004765,0.005881,0.00004765,0.00004765,0.00004765,0.00004765,0.00004765,0.00004765,0.00009218,0.00004765,0.003387,0.00004765,0.0001812,0.00004765,0.00004765,0.00004765,0.1417,0.00009218,0.0003594,0.0002703,0.00004765,0.00004765,0.00004765,0.00004765,0.00004765,0.00004765,0.00004765,0.0001812,0.00004765,0.00004765,0.00004765,0.2402,0.00004765,0.00004765,0.01318,0.00263,0.00004765,0.1034,0.009711,0.00004765,0.00004765,0.00009218,0.00004765,0.00004765,0.00004765,0.03968,0.00004765,0.00004765,0.00004765,0.0001367,0.0002258,0.0001367,0.0001812,0.00004765,0.00004765,0.0001367,0.00004765,0.0001367,0.00004765,0.2091,0.00004765,0.00004765,0.00004765,0.00004765,0.0001812,0.0001812,0.001027,0.0008047,0.00004765,0.00004765,0.00004765,0.00009218,0.00004765,0.00004765,0.08612,0.00004765,0.002408,0.00004765,0.0005375,0.00004765,0.00004765,0.00009218,0.0001367,0.00009218,0.00004765,0.00004765,0.002051,0.00004765,0.00004765,0.00004765,0.00004765,0.00009218,0.00004765
solanine,MCF7,0.0000046,0.0000439,0.3518,0.00002269,0.0337,0.00002269,0.0001287,0.00002269,0.0006377,0.009905,0.06858,0.005557,0.00008631,0.0002348,0.00002269,0.0001075,0.0000439,0.00002269,0.001571,0.00002269,0.00002269,0.00002269,0.00002269,0.00002269,0.0000439,0.00006511,0.00002269,0.009184,0.0001923,0.00002269,0.01241,0.0001711,0.0003408,0.0000439,0.0001287,0.00002269,0.00002269,0.001253,0.00006511,0.00002269,0.00006511,0.0000439,0.0007861,0.02303,0.00006511,0.0004256,0.00006511,0.001401,0.00002269,0.01807,0.00002269,0.0001287,0.00002269,0.00002269,0.00002269,0.00002269,0.001719,0.00006511,0.00002269,0.0001075,0.0002135,0.00002269,0.001104,0.00002269,0.08644,0.0000439,0.0000439,0.01576,0.00002269,0.0001711,0.0000439,0.001846,0.0000439,0.08347,0.00002269,0.00008631,0.0000439,0.0000439,0.01103,0.00002269,0.00006511,0.0001075,0.00002269,0.00006511,0.0000439,0.0002984,0.003606,0.0000439,0.00002269,0.00008631,0.2437,0.0000439,0.007551,0.00002269,0.00008631,0.0000439,0.0001711,0.0001499,0.0004044,0.0001499,0.00002269
solanine,PC3,0.0000046,0.01159,0.00002892,0.000137,0.04745,0.00002892,0.00002892,0.00002892,0.00005594,0.03456,0.0731,0.0411,0.00008296,0.0002451,0.00005594,0.0735,0.00008296,0.00002892,0.00002892,0.00002892,0.00002892,0.00002892,0.00002892,0.00005594,0.004839,0.00002892,0.00002892,0.009865,0.00011,0.00002892,0.0009477,0.3468,0.004352,0.00005594,0.000164,0.00002892,0.00002892,0.00002892,0.1674,0.00002892,0.0133,0.00005594,0.04205,0.00002892,0.00002892,0.002164,0.00002892,0.04399,0.00002892,0.00002892,0.00008296,0.004379,0.00002892,0.00002892,0.00002892,0.00005594,0.000191,0.002029,0.00002892,0.006568,0.002812,0.00005594,0.00002892,0.0005423,0.0004883,0.00008296,0.00002892,0.03024,0.000137,0.00002892,0.008865,0.000164,0.00005594,0.00002892,0.00002892,0.001299,0.00002892,0.00011,0.0002451,0.00002892,0.00165,0.00005594,0.00008296,0.001677,0.000137,0.003434,0.00005594,0.0008666,0.00002892,0.00002892,0.00005594,0.00002892,0.00011,0.001191,0.00002892,0.00005594,0.00002892,0.00005594,0.0003262,0.01259,0.00002892
solasodine,HL60,0.0000096,0.001763,0.008353,0.006705,0.001763,0.001763,0.001763,0.01329,0.001763,0.00341,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.7085,0.001763,0.00341,0.001763,0.001763,0.001763,0.001763,0.001763,0.005058,0.00341,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.01329,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.00341,0.001763,0.001763,0.001763,0.01659,0.00341,0.001763,0.001763,0.001763,0.005058,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.00341,0.001763,0.001763,0.001763,0.001763,0.001763,0.008353,0.001763,0.00341,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.00341,0.001763,0.02647,0.001763,0.001763,0.001763,0.00341,0.01659,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763,0.001763
solasodine,PC3,0.0000096,0.0005468,0.0005468,0.0005468,0.0005468,0.0005468,0.001058,0.001058,0.002591,0.0005468,0.06902,0.788,0.0005468,0.00208,0.0005468,0.01077,0.001058,0.0005468,0.0005468,0.001058,0.0005468,0.0005468,0.0005468,0.0005468,0.0005468,0.0005468,0.001058,0.003102,0.0005468,0.0005468,0.0005468,0.03069,0.001058,0.0005468,0.004124,0.0005468,0.002591,0.001058,0.00208,0.0005468,0.0005468,0.0005468,0.0005468,0.0005468,0.0005468,0.0005468,0.0005468,0.00208,0.0005468,0.0005468,0.0005468,0.001058,0.0005468,0.0005468,0.0005468,0.0005468,0.00719,0.0005468,0.0005468,0.00208,0.0005468,0.0005468,0.0005468,0.0005468,0.0005468,0.0005468,0.001058,0.00208,0.001569,0.001569,0.0005468,0.001569,0.001569,0.0005468,0.0005468,0.0005468,0.001058,0.0005468,0.0005468,0.0005468,0.00208,0.001058,0.0005468,0.0005468,0.0005468,0.0005468,0.0005468,0.001569,0.0005468,0.0005468,0.003102,0.0005468,0.001058,0.001569,0.0005468,0.0005468,0.00208,0.0005468,0.00719,0.0005468,0.0005468
solasodine,MCF7,0.0000096,0.00002591,0.4094,0.00002591,0.0007764,0.00002591,0.0001712,0.00002591,0.03668,0.00002591,0.00009853,0.0628,0.00007433,0.00005012,0.00007433,0.0001712,0.00005012,0.00002591,0.00007433,0.0001227,0.00002591,0.0001712,0.00002591,0.00002591,0.00007433,0.00002591,0.000147,0.00586,0.00005012,0.00002591,0.001067,0.0003648,0.00002591,0.00002591,0.00002591,0.00005012,0.00002591,0.000268,0.00002591,0.00007433,0.00007433,0.0001227,0.0004133,0.05145,0.00002591,0.03326,0.00002591,0.001745,0.00002591,0.0003648,0.00005012,0.00002591,0.00002591,0.0003406,0.00005012,0.04353,0.05016,0.000147,0.00007433,0.0001712,0.00005012,0.00002591,0.0001227,0.00005012,0.005715,0.002398,0.00002591,0.0004617,0.00005012,0.00005012,0.00002591,0.0004133,0.00005012,0.0636,0.112,0.00009853,0.00002591,0.00002591,0.00007433,0.00002591,0.00005012,0.00005012,0.00009853,0.00007433,0.0008732,0.0001227,0.00009853,0.00002591,0.00002591,0.00002591,0.09626,0.00007433,0.001115,0.00005012,0.00005012,0.00002591,0.0005101,0.0006069,0.00007433,0.01329,0.00002591
sparteine,HL60,0.000017,0.0002223,0.00005846,0.00005846,0.00005846,0.00005846,0.000277,0.0001677,0.00005846,0.00005846,0.0001131,0.00005846,0.1336,0.0001131,0.0006593,0.0007686,0.0002223,0.001479,0.00005846,0.0009871,0.0009871,0.00005846,0.1348,0.0001677,0.0001131,0.00005846,0.0001131,0.00005846,0.0002223,0.2233,0.00005846,0.0001677,0.000277,0.00005846,0.0002223,0.0002223,0.0003862,0.0001131,0.0001677,0.00005846,0.07713,0.0001677,0.00005846,0.00005846,0.02945,0.00005846,0.00005846,0.0001677,0.003227,0.00005846,0.003609,0.000277,0.00492,0.00005846,0.00005846,0.00005846,0.00005846,0.00005846,0.00005846,0.00005846,0.00005846,0.003063,0.01896,0.00005846,0.00005846,0.00005846,0.001042,0.00005846,0.001643,0.00005846,0.04277,0.0001677,0.00005846,0.00005846,0.00005846,0.00005846,0.0001131,0.00005846,0.007269,0.00005846,0.0002223,0.00005846,0.00005846,0.0001131,0.00005846,0.00005846,0.00005846,0.00005846,0.01093,0.00005846,0.00005846,0.00005846,0.00005846,0.1615,0.00005846,0.00005846,0.00005846,0.0002223,0.0004954,0.00005846,0.1296
sparteine,MCF7,0.000017,0.003486,0.003486,0.003486,0.01,0.003486,0.003486,0.003486,0.003486,0.02629,0.003486,0.111,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.01,0.003486,0.003486,0.003486,0.003486,0.003486,0.006743,0.01,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.02303,0.003486,0.01977,0.003486,0.003486,0.003486,0.003486,0.251,0.003486,0.003486,0.003486,0.003486,0.01326,0.003486,0.003486,0.003486,0.003486,0.003486,0.08491,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.01651,0.003486,0.003486,0.003486,0.01326,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.01326,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.006743,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.003486,0.01,0.003486,0.003486,0.08491,0.003486
sparteine,PC3,0.000017,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01483,0.005169,0.005169,0.05347,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.3723,0.005169,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.04381,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01483,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.01,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169,0.005169
spectinomycin,PC3,0.0000098,0.0004514,0.00004797,0.00004797,0.00004797,0.00004797,0.0001376,0.00004797,0.0000928,0.0000928,0.00004797,0.0000928,0.0035,0.001841,0.0002273,0.01031,0.0002721,0.00004797,0.00004797,0.00004797,0.0000928,0.0001825,0.0000928,0.0001376,0.00004797,0.00004797,0.00004797,0.00004797,0.0000928,0.00004797,0.00004797,0.0000928,0.001931,0.0001825,0.003948,0.001303,0.0000928,0.0000928,0.06899,0.00004797,0.00004797,0.00004797,0.00004797,0.00004797,0.09863,0.00004797,0.00004797,0.001348,0.0000928,0.00004797,0.00749,0.0001825,0.00004797,0.00004797,0.0002721,0.00004797,0.00004797,0.00004797,0.00004797,0.0001376,0.00004797,0.0001376,0.001976,0.00004797,0.00004797,0.00004797,0.1704,0.00004797,0.0001825,0.3709,0.0001825,0.1465,0.00004797,0.00004797,0.00004797,0.00004797,0.00004797,0.0004066,0.0004066,0.00004797,0.0002273,0.00004797,0.00004797,0.00004797,0.0000928,0.00004797,0.00004797,0.0001376,0.0000928,0.0002721,0.00004797,0.00004797,0.00004797,0.03277,0.00004797,0.06205,0.0002273,0.0000928,0.008028,0.00004797,0.00004797
spectinomycin,HL60,0.0000098,0.00005483,0.0003197,0.00005483,0.0002932,0.00008131,0.00005483,0.00002834,0.0008759,0.0001873,0.03019,0.00002834,0.00005483,0.0001078,0.00002834,0.00005483,0.00002834,0.00002834,0.04667,0.00002834,0.00002834,0.00002834,0.0001078,0.00002834,0.0001608,0.00005483,0.0001608,0.4071,0.00008131,0.00002834,0.0003727,0.0008759,0.0001608,0.00005483,0.0009288,0.00002834,0.00002834,0.00002834,0.00008131,0.00002834,0.02281,0.00002834,0.01648,0.03851,0.00002834,0.0005051,0.00002834,0.0004521,0.00002834,0.0001608,0.00002834,0.00002834,0.00005483,0.00005483,0.00002834,0.00002834,0.04026,0.001803,0.00002834,0.0006905,0.0001608,0.00002834,0.00002834,0.00002834,0.00002834,0.0001873,0.00002834,0.3138,0.00002834,0.0001078,0.0001078,0.00002834,0.0002402,0.00002834,0.0001873,0.0001343,0.00002834,0.00005483,0.03295,0.00002834,0.0001608,0.0001873,0.0001343,0.0001078,0.0005051,0.0005316,0.00008131,0.00005483,0.00002834,0.00002834,0.0008759,0.00002834,0.000558,0.0001078,0.00002834,0.00005483,0.03631,0.00002834,0.0002667,0.0001078,0.00002834
spectinomycin,MCF7,0.0000098,0.0000296,0.03037,0.0001679,0.1383,0.0000296,0.0000296,0.0000296,0.01281,0.0001402,0.0000296,0.0000296,0.0000296,0.00008491,0.0000296,0.0000296,0.0000296,0.0000296,0.158,0.0000296,0.00005725,0.0000296,0.0000296,0.0000296,0.0001126,0.0007763,0.00005725,0.0001679,0.0000296,0.0000296,0.0000296,0.00005725,0.0000296,0.0000296,0.0000296,0.0000296,0.0000296,0.0000296,0.00008491,0.0001402,0.0000296,0.0002785,0.1096,0.001938,0.0000296,0.2616,0.1547,0.0000296,0.0000296,0.0003062,0.0000296,0.0000296,0.0000296,0.0001679,0.00005725,0.0002785,0.005561,0.004759,0.00005725,0.0003338,0.006889,0.0000296,0.0000296,0.004676,0.002657,0.0002509,0.0000296,0.02415,0.0000296,0.0000296,0.00005725,0.0000296,0.04846,0.01314,0.00008491,0.0004445,0.0000296,0.0000296,0.0000296,0.0000296,0.0000296,0.0000296,0.003791,0.0000296,0.000804,0.005174,0.005893,0.0000296,0.0000296,0.00008491,0.0002232,0.0000296,0.0002232,0.00008491,0.0004445,0.0000296,0.0000296,0.0000296,0.0000296,0.00008491,0.00008491
streptozocin,HL60,0.000015,0.00002466,0.00001275,0.00001275,0.00001275,0.00002466,0.00001275,0.00003657,0.00001275,0.00001275,0.00001275,0.00001275,0.008624,0.00002466,0.2422,0.00001275,0.00002466,0.00002466,0.00002466,0.00006039,0.08208,0.00001275,0.00003657,0.00004848,0.00001275,0.0001199,0.00002466,0.00001275,0.00001275,0.1084,0.00001275,0.00001275,0.00001275,0.00001275,0.00001275,0.0002152,0.0007036,0.00001275,0.00002466,0.00001275,0.00001275,0.00002466,0.00001275,0.00001275,0.2753,0.00001275,0.00003657,0.00002466,0.0002152,0.00001275,0.00008421,0.00001275,0.0001199,0.00008421,0.00002466,0.00002466,0.00001275,0.00001275,0.00001275,0.00002466,0.00002466,0.1432,0.00002466,0.00001275,0.00001275,0.00001275,0.04936,0.00001275,0.00001275,0.00001275,0.00002466,0.00002466,0.00001275,0.00001275,0.00001275,0.00002466,0.000513,0.00008421,0.00002466,0.00003657,0.00001275,0.00001275,0.00001275,0.00001275,0.00001275,0.00002466,0.00001275,0.00001275,0.08448,0.00008421,0.00001275,0.00001275,0.00001275,0.00003657,0.00003657,0.00255,0.00001275,0.00001275,0.00002466,0.00001275,0.00002466
streptozocin,PC3,0.000015,0.03525,0.00694,0.0008188,0.003114,0.0008188,0.0008188,0.0008188,0.0008188,0.0008188,0.0008188,0.0008188,0.0008188,0.001584,0.009235,0.0008188,0.0008188,0.004644,0.0008188,0.01,0.006174,0.005409,0.003879,0.02071,0.0008188,0.002349,0.01,0.0008188,0.006174,0.0008188,0.001584,0.001584,0.003114,0.04902,0.002349,0.004644,0.001584,0.005409,0.0008188,0.002349,0.001584,0.002349,0.0008188,0.0008188,0.002349,0.005409,0.0008188,0.0008188,0.0008188,0.0008188,0.001584,0.0008188,0.0008188,0.0008188,0.01,0.0008188,0.001584,0.0008188,0.0008188,0.003879,0.004644,0.001584,0.0008188,0.002349,0.002349,0.0008188,0.07121,0.003879,0.01536,0.0008188,0.005409,0.5655,0.0008188,0.0008188,0.0008188,0.001584,0.0008188,0.01689,0.0008188,0.00694,0.001584,0.002349,0.0008188,0.01,0.0008188,0.0008188,0.0008188,0.01689,0.0008188,0.0008188,0.0008188,0.0008188,0.0008188,0.001584,0.0008188,0.0008188,0.0008188,0.0008188,0.0008188,0.001584,0.001584
streptozocin,MCF7,0.000015,0.0004234,0.00003754,0.00003754,0.00003754,0.00003754,0.0003182,0.00003754,0.00003754,0.00003754,0.001827,0.002563,0.00007262,0.0001077,0.2125,0.00003754,0.000248,0.04543,0.0001428,0.0001428,0.05034,0.0003182,0.001125,0.000248,0.00003754,0.00003754,0.00007262,0.0001428,0.0013,0.275,0.00007262,0.00003754,0.0004585,0.00003754,0.0001779,0.01323,0.07195,0.008632,0.0002831,0.00003754,0.00007262,0.00003754,0.00003754,0.00003754,0.01603,0.00003754,0.00003754,0.00003754,0.01309,0.00007262,0.1307,0.0002831,0.0001077,0.00003754,0.00007262,0.0004936,0.00003754,0.00003754,0.00003754,0.00003754,0.00003754,0.0001428,0.002212,0.00003754,0.00003754,0.00003754,0.05245,0.00003754,0.01253,0.00003754,0.0006339,0.001195,0.00003754,0.00003754,0.00007262,0.00003754,0.04097,0.0001077,0.0003533,0.00003754,0.0001077,0.00003754,0.00007262,0.0001428,0.00007262,0.00007262,0.00003754,0.009018,0.02926,0.00003754,0.00003754,0.00003754,0.00003754,0.00007262,0.00003754,0.0001779,0.00007262,0.0003883,0.00003754,0.0001077,0.00003754
strophanthidin,HL60,0.0000098,0.00005028,0.00001753,0.00001753,0.00001753,0.00001753,0.0001649,0.00003391,0.00001753,0.00003391,0.0001322,0.00001753,0.08374,0.6446,0.00001753,0.09516,0.00005028,0.00009942,0.00001753,0.00003391,0.00001753,0.004865,0.001934,0.00001753,0.00001753,0.00001753,0.00003391,0.00006666,0.00005028,0.0007382,0.00005028,0.0005089,0.00008304,0.00001753,0.01168,0.00001753,0.00003391,0.00003391,0.0002796,0.00001753,0.00001753,0.00005028,0.00001753,0.00001753,0.00001753,0.00001753,0.00003391,0.00003391,0.01109,0.00001753,0.00001753,0.00001753,0.00003391,0.00005028,0.00008304,0.00001753,0.00006666,0.00001753,0.00001753,0.0001977,0.00001753,0.0001649,0.00001753,0.00003391,0.00001753,0.0002304,0.00001753,0.00001753,0.00008304,0.00001753,0.00001753,0.00005028,0.00006666,0.00001753,0.00001753,0.00001753,0.00001753,0.00001753,0.00003391,0.00001753,0.001246,0.00001753,0.00001753,0.0002468,0.00005028,0.00003391,0.00003391,0.00005028,0.006061,0.00005028,0.0001158,0.00001753,0.00005028,0.01029,0.00001753,0.0001977,0.02565,0.00005028,0.09149,0.0001977,0.006651
strophanthidin,PC3,0.0000098,0.001805,0.0000141,0.000007287,0.000007287,0.000007287,0.03233,0.000007287,0.000007287,0.000007287,0.00006857,0.000007287,0.00002772,0.0000141,0.00005495,0.2566,0.00004814,0.002179,0.000007287,0.0001571,0.000007287,0.02668,0.03315,0.000007287,0.000007287,0.000007287,0.00002091,0.000007287,0.0151,0.00003452,0.00004814,0.08071,0.00004814,0.0000141,0.007348,0.000007287,0.0001367,0.0000141,0.00003452,0.000007287,0.000007287,0.000007287,0.000007287,0.000007287,0.000007287,0.000007287,0.000007287,0.08343,0.001185,0.000007287,0.00002091,0.000007287,0.00004133,0.000007287,0.0007767,0.000007287,0.0000141,0.000007287,0.000007287,0.0000141,0.000007287,0.000232,0.000007287,0.000007287,0.0000141,0.000007287,0.001369,0.000007287,0.00004133,0.0001503,0.00002772,0.00006857,0.000007287,0.000007287,0.000007287,0.000007287,0.0001162,0.00004133,0.0000141,0.000007287,0.2429,0.000007287,0.000007287,0.00003452,0.00002091,0.000007287,0.000007287,0.00002772,0.00008219,0.000007287,0.000007287,0.000007287,0.000007287,0.1636,0.000007287,0.00002091,0.00004133,0.0003409,0.04811,0.0002865,0.000007287
sulfathiazole,PC3,0.0000156,0.0001657,0.0001657,0.1885,0.0003206,0.001405,0.0001657,0.004967,0.0001657,0.0001657,0.0001657,0.0001657,0.001714,0.001869,0.0009401,0.0001657,0.0001657,0.0001657,0.0003206,0.0001657,0.002179,0.0001657,0.0009401,0.0001657,0.08565,0.0007852,0.0001657,0.0003206,0.0001657,0.0003206,0.0001657,0.0001657,0.0004755,0.0003206,0.0001657,0.1199,0.0001657,0.0001657,0.0001657,0.0004755,0.0001657,0.0001657,0.0001657,0.0001657,0.0001657,0.0007852,0.0004755,0.0001657,0.0003206,0.0001657,0.0001657,0.001869,0.0001657,0.002024,0.0001657,0.0001657,0.0001657,0.0003206,0.001405,0.00156,0.0003206,0.0004755,0.0001657,0.0001657,0.0003206,0.0001657,0.0003206,0.0001657,0.0003206,0.0001657,0.0003206,0.0001657,0.0009401,0.0001657,0.0001657,0.001714,0.0003206,0.0001657,0.0001657,0.001869,0.0004755,0.0001657,0.0001657,0.001095,0.0003206,0.0001657,0.0003206,0.0001657,0.5335,0.0001657,0.0001657,0.0007852,0.0003206,0.0003206,0.0001657,0.0001657,0.0001657,0.0003206,0.02634,0.0003206,0.0001657
sulfathiazole,MCF7,0.0000156,0.00006406,0.00006406,0.2626,0.0005429,0.00006406,0.0001239,0.001201,0.0001838,0.00006406,0.0001838,0.00006406,0.00006406,0.00006406,0.00006406,0.00006406,0.00006406,0.0001838,0.001201,0.00006406,0.00006406,0.00006406,0.0001239,0.00006406,0.4414,0.00581,0.00006406,0.0002436,0.00006406,0.0003035,0.0001239,0.0001239,0.00006406,0.00006406,0.00006406,0.00006406,0.00006406,0.00006406,0.00006406,0.0001239,0.00006406,0.00006406,0.001321,0.0001239,0.00006406,0.2317,0.003596,0.00006406,0.00006406,0.00006406,0.00006406,0.00006406,0.00006406,0.0008422,0.00006406,0.0003633,0.0001239,0.0001838,0.0003035,0.0001239,0.0001838,0.00006406,0.00006406,0.0001838,0.0002436,0.0005429,0.00006406,0.005451,0.00006406,0.00006406,0.00006406,0.00006406,0.001201,0.00006406,0.0002436,0.0003035,0.00006406,0.00006406,0.00006406,0.0001838,0.00006406,0.00006406,0.0001239,0.00006406,0.0001239,0.0001239,0.0331,0.00006406,0.0003633,0.00006406,0.00006406,0.0003633,0.0001838,0.00006406,0.0001239,0.00006406,0.00006406,0.0001239,0.00006406,0.0001838,0.00006406
